Quotazioni Fantacalcio Stagione 2025 26;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
4431;P;Por;Carnesecchi;Atalanta;18;14;4;18;14;4;80;80
2170;P;Por;Milinkovic-Savic V.;Napoli;17;4;13;17;4;13;37;37
5841;P;Por;Svilar;Roma;17;15;2;17;15;2;105;105
6966;P;Por;Butez;Como;16;10;6;16;10;6;95;95
4312;P;Por;Maignan;Milan;16;16;0;16;16;0;88;88
5876;P;Por;Di Gregorio;Juventus;15;16;-1;15;16;-1;30;30
2134;P;Por;Falcone;Lecce;15;6;9;15;6;9;35;35
6462;P;Por;Okoye;Udinese;14;6;8;14;6;8;14;14
2428;P;Por;Sommer;Inter;13;16;-3;13;16;-3;60;60
4360;P;Por;Caprile;Cagliari;12;7;5;12;7;5;20;20
761;P;Por;Audero;Cremonese;12;5;7;12;5;7;11;11
2521;P;Por;De Gea;Fiorentina;12;14;-2;12;14;-2;28;28
4957;P;Por;Montipò;Verona;12;5;7;12;5;7;5;5
133;P;Por;Skorupski;Bologna;11;10;1;11;10;1;14;14
2814;P;Por;Provedel;Lazio;11;12;-1;11;12;-1;15;15
6641;P;Por;Suzuki;Parma;11;7;4;11;7;4;8;8
4236;P;Por;Muric;Sassuolo;10;3;7;10;3;7;6;6
7332;P;Por;Bijlow;Genoa;10;10;0;10;10;0;10;10
188;P;Por;Leali;Genoa;9;8;1;9;8;1;1;1
6662;P;Por;Corvi;Parma;9;1;8;9;1;8;5;5
5320;P;Por;Paleari;Torino;9;1;8;9;1;8;9;9
218;P;Por;Perin;Juventus;8;1;7;8;1;7;10;10
572;P;Por;Meret;Napoli;8;16;-8;8;16;-8;20;20
4867;P;Por;Turati;Sassuolo;8;7;1;8;7;1;5;5
2861;P;Por;Semper;Pisa;7;3;4;7;3;4;3;3
7172;P;Por;Pessina Mas.;Bologna;6;1;5;6;1;5;2;2
5116;P;Por;Martinez Jo.;Inter;5;2;3;5;2;3;1;1
7337;P;Por;Motta;Lazio;5;1;4;5;1;4;15;15
2722;P;Por;Ravaglia F.;Bologna;4;3;1;4;3;1;3;3
6417;P;Por;Furlanetto;Lazio;3;1;2;3;1;2;1;1
6403;P;Por;Christensen O.;Fiorentina;2;1;1;2;1;1;1;1
2297;P;Por;Rossi F.;Atalanta;1;1;0;1;1;0;1;1
4;P;Por;Sportiello;Atalanta;1;1;0;1;1;0;1;1
4929;P;Por;Ciocci;Cagliari;1;1;0;1;1;0;1;1
2809;P;Por;Vigorito;Como;1;1;0;1;1;0;1;1
6505;P;Por;Nava;Cremonese;1;1;0;1;1;0;1;1
6991;P;Por;Siegrist;Genoa;1;1;0;1;1;0;1;1
219;P;Por;Sommariva;Genoa;1;1;0;1;1;0;1;1
1926;P;Por;Di Gennaro;Inter;1;1;0;1;1;0;1;1
1930;P;Por;Pinsoglio;Juventus;1;1;0;1;1;0;1;1
2401;P;Por;Fruchtl;Lecce;1;1;0;1;1;0;1;1
6523;P;Por;Samooja;Lecce;1;1;0;1;1;0;1;1
2815;P;Por;Terracciano;Milan;1;1;0;1;1;0;1;1
6813;P;Por;Torriani;Milan;1;1;0;1;1;0;1;1
2845;P;Por;Contini;Napoli;1;1;0;1;1;0;1;1
5338;P;Por;Rinaldi;Parma;1;1;0;1;1;0;1;1
2271;P;Por;Nicolas;Pisa;1;1;0;1;1;0;1;1
574;P;Por;Scuffet;Pisa;1;3;-2;1;3;-2;1;1
7169;P;Por;Zelezny;Roma;1;1;0;1;1;0;1;1
610;P;Por;Gollini;Roma;1;1;0;1;1;0;1;1
2127;P;Por;Satalino;Sassuolo;1;1;0;1;1;0;1;1
7179;P;Por;Israel;Torino;1;9;-8;1;9;-8;1;1
543;P;Por;Padelli;Udinese;1;1;0;1;1;0;1;1
6842;P;Por;Sava;Udinese;1;4;-3;1;4;-3;1;1
511;P;Por;Perilli;Verona;1;1;0;1;1;0;1;1
7185;P;Por;Nunziante;Udinese;1;1;0;1;1;0;1;1
158;P;Por;Lezzerini;Fiorentina;1;1;0;1;1;0;1;1
2211;P;Por;Silvestri;Cremonese;1;1;0;1;1;0;1;1
7236;P;Por;Toniolo;Verona;1;1;0;1;1;0;1;1
7261;P;Por;Cavlina;Como;1;1;0;1;1;0;1;1
7285;P;Por;Ferrante;Napoli;1;1;0;1;1;0;1;1
7042;P;Por;Calligaris;Inter;1;1;0;1;1;0;1;1
7301;P;Por;Tornqvist;Como;1;1;0;1;1;0;1;1
6650;P;Por;Sherri;Cagliari;1;1;0;1;1;0;1;1
7363;P;Por;Siviero;Torino;1;1;0;1;1;0;1;1
7382;P;Por;Pannozzo;Lazio;1;1;0;1;1;0;1;1
7383;P;Por;Giacomone;Lazio;1;1;0;1;1;0;1;1
254;D;E;Dimarco;Inter;30;19;11;30;18;12;320;320
2788;D;Dc;Bremer;Juventus;20;13;7;20;13;7;74;74
5022;D;Dc;Pavlovic;Milan;17;7;10;17;7;10;60;60
6832;D;E;Palestra;Cagliari;16;3;13;16;2;14;75;75
6893;D;Dc;Kempf;Como;16;5;11;16;5;11;18;18
1852;D;"Ds;E";Spinazzola;Napoli;16;7;9;16;7;9;33;33
5526;D;Dc;Scalvini;Atalanta;15;8;7;15;8;7;22;22
6217;D;Dc;Bisseck;Inter;15;9;6;15;9;6;41;41
2296;D;Dc;Mancini;Roma;15;11;4;15;11;4;54;54
5750;D;Dc;Ostigard;Genoa;15;5;10;15;5;10;50;50
4976;D;"Dd;Dc";Kalulu;Juventus;14;9;5;14;10;4;68;70
4657;D;"B;Dd;E";Celik;Roma;14;7;7;14;8;6;14;17
7181;D;E;Wesley;Roma;14;14;0;14;13;1;46;46
6956;D;Dc;Solet;Udinese;14;11;3;14;11;3;55;55
2120;D;Dc;Bastoni;Inter;13;16;-3;13;16;-3;40;40
4807;D;Dc;Hermoso;Roma;13;3;10;13;3;10;25;25
6986;D;"B;Dd;E";Rensch;Roma;13;5;8;14;6;8;17;20
4159;D;Dc;Akanji;Inter;13;9;4;13;9;4;64;64
554;D;E;Zappacosta;Atalanta;12;13;-1;12;12;0;18;18
5513;D;E;Dumfries;Inter;12;20;-8;12;19;-7;56;56
4317;D;Dc;N'Dicka;Roma;12;10;2;12;10;2;51;51
2160;D;E;Gosens;Fiorentina;11;18;-7;11;17;-6;19;16
5514;D;"Ds;Dc";Vasquez;Genoa;11;9;2;11;10;1;26;29
6766;D;"Ds;Dc";Kelly L.;Juventus;11;7;4;11;8;3;27;30
4409;D;Dc;Rrahmani;Napoli;11;11;0;11;11;0;45;45
5862;D;"Ds;E";Valeri;Parma;11;10;1;11;10;1;22;22
6485;D;"Dd;Dc";Kristensen T.;Udinese;11;5;6;11;5;6;14;16
7211;D;"Dd;E";Athekame;Milan;11;6;5;11;6;5;9;9
5678;D;"Dd;E";Holm;Juventus;10;8;2;10;8;2;8;8
4734;D;"Ds;E";Miranda J.;Bologna;10;9;1;10;9;1;25;25
4994;D;"Dd;E";Vojvoda;Como;10;6;4;10;6;4;12;12
6867;D;"Ds;E";Valle;Como;10;6;4;10;6;4;17;17
5885;D;E;Dodò;Fiorentina;10;11;-1;10;10;0;30;30
2593;D;"Ds;E";Martin;Genoa;10;10;0;10;10;0;11;11
5877;D;"B;Ds;E";Carlos Augusto;Inter;10;10;0;10;11;-1;15;18
6989;D;Dc;Tiago Gabriel;Lecce;10;1;9;10;1;9;25;25
4502;D;"Ds;E";Gallo;Lecce;10;5;5;10;5;5;15;15
6496;D;"Ds;E";Bartesaghi;Milan;10;3;7;10;3;7;15;15
6202;D;Dc;Beukema;Napoli;10;10;0;10;10;0;10;10
2816;D;"Dd;E";Di Lorenzo;Napoli;10;14;-4;10;14;-4;28;28
6664;D;"B;Dd;E";Delprato;Parma;10;8;2;9;9;0;22;25
4263;D;Dc;Kabasele;Udinese;10;3;7;10;3;7;9;9
